scientific_women,context,question,answer,
Jane Greaves,"Jane Greaves es una física británica, profesora de astronomía en la Universidad de Cardiff. Mientras estaba en la Universidad de St. Andrews dirigió el equipo que descubrió un protoplaneta dentro del disco protoplanetario alrededor de la joven estrella HL Tauri.[1]​[2]​
En 2017, fue galardonada con la Medalla y Premio Fred Hoyle del Institute of Physics por «su significativa contribución a nuestra comprensión de la formación de planetas y la habitabilidad de los exoplanetas a través de su imagen seminal de los discos de escombros alrededor de estrellas similares al Sol y cuerpos del sistema solar utilizando telescopios de infrarrojo lejano».[3]​
En 2018, anunció los resultados preliminares de los estudios sobre la presencia de fósforo en los restos de supernovas, que indican que el nivel de fósforo en la Nebulosa del Cangrejo es muy inferior al de Casiopea A, lo que hace especular que una escasez de fósforo podría limitar la formación de vida extraterrestre.[4]​[5]​
El 14 de septiembre de 2020, su equipo anunció el descubrimiento de la fosfina en la atmósfera de Venus.[6]​[7]​",¿Quién es?,"es una física británica, profesora de astronomía en la Universidad de Cardiff",
Jane Greaves,"Jane Greaves es una física británica, profesora de astronomía en la Universidad de Cardiff. Mientras estaba en la Universidad de St. Andrews dirigió el equipo que descubrió un protoplaneta dentro del disco protoplanetario alrededor de la joven estrella HL Tauri.[1]​[2]​
En 2017, fue galardonada con la Medalla y Premio Fred Hoyle del Institute of Physics por «su significativa contribución a nuestra comprensión de la formación de planetas y la habitabilidad de los exoplanetas a través de su imagen seminal de los discos de escombros alrededor de estrellas similares al Sol y cuerpos del sistema solar utilizando telescopios de infrarrojo lejano».[3]​
En 2018, anunció los resultados preliminares de los estudios sobre la presencia de fósforo en los restos de supernovas, que indican que el nivel de fósforo en la Nebulosa del Cangrejo es muy inferior al de Casiopea A, lo que hace especular que una escasez de fósforo podría limitar la formación de vida extraterrestre.[4]​[5]​
El 14 de septiembre de 2020, su equipo anunció el descubrimiento de la fosfina en la atmósfera de Venus.[6]​[7]​",¿Por qué es improtante?,Mientras estaba en la Universidad de St. Andrews dirigió el equipo que descubrió un protoplaneta dentro del disco protoplanetario alrededor de la joven estrella HL Tauri.[1]​[2]​,
Jane Greaves,"Jane Greaves es una física británica, profesora de astronomía en la Universidad de Cardiff. Mientras estaba en la Universidad de St. Andrews dirigió el equipo que descubrió un protoplaneta dentro del disco protoplanetario alrededor de la joven estrella HL Tauri.[1]​[2]​
En 2017, fue galardonada con la Medalla y Premio Fred Hoyle del Institute of Physics por «su significativa contribución a nuestra comprensión de la formación de planetas y la habitabilidad de los exoplanetas a través de su imagen seminal de los discos de escombros alrededor de estrellas similares al Sol y cuerpos del sistema solar utilizando telescopios de infrarrojo lejano».[3]​
En 2018, anunció los resultados preliminares de los estudios sobre la presencia de fósforo en los restos de supernovas, que indican que el nivel de fósforo en la Nebulosa del Cangrejo es muy inferior al de Casiopea A, lo que hace especular que una escasez de fósforo podría limitar la formación de vida extraterrestre.[4]​[5]​
El 14 de septiembre de 2020, su equipo anunció el descubrimiento de la fosfina en la atmósfera de Venus.[6]​[7]​",¿Qué hizo?,"En 2017, fue galardonada con la Medalla y Premio Fred Hoyle del Institute of Physics por «su significativa contribución a nuestra comprensión de la formación de planetas y la habitabilidad de los exoplanetas a través de su imagen seminal de los discos de escombros alrededor de estrellas similares al Sol y cuerpos del sistema solar utilizando telescopios de infrarrojo lejano».[3]​",
Jane Greaves,"Jane Greaves es una física británica, profesora de astronomía en la Universidad de Cardiff. Mientras estaba en la Universidad de St. Andrews dirigió el equipo que descubrió un protoplaneta dentro del disco protoplanetario alrededor de la joven estrella HL Tauri.[1]​[2]​
En 2017, fue galardonada con la Medalla y Premio Fred Hoyle del Institute of Physics por «su significativa contribución a nuestra comprensión de la formación de planetas y la habitabilidad de los exoplanetas a través de su imagen seminal de los discos de escombros alrededor de estrellas similares al Sol y cuerpos del sistema solar utilizando telescopios de infrarrojo lejano».[3]​
En 2018, anunció los resultados preliminares de los estudios sobre la presencia de fósforo en los restos de supernovas, que indican que el nivel de fósforo en la Nebulosa del Cangrejo es muy inferior al de Casiopea A, lo que hace especular que una escasez de fósforo podría limitar la formación de vida extraterrestre.[4]​[5]​
El 14 de septiembre de 2020, su equipo anunció el descubrimiento de la fosfina en la atmósfera de Venus.[6]​[7]​",¿Con qué fue galardonada el 2017?,"En 2018, anunció los resultados preliminares de los estudios sobre la presencia de fósforo en los restos de supernovas, que indican que el nivel de fósforo en la Nebulosa del Cangrejo es muy inferior al de Casiopea A, lo que hace especular que una escasez de fósforo podría limitar la formación de vida extraterrestre.[4]​[5]​",
Jane Greaves,"Jane Greaves es una física británica, profesora de astronomía en la Universidad de Cardiff. Mientras estaba en la Universidad de St. Andrews dirigió el equipo que descubrió un protoplaneta dentro del disco protoplanetario alrededor de la joven estrella HL Tauri.[1]​[2]​
En 2017, fue galardonada con la Medalla y Premio Fred Hoyle del Institute of Physics por «su significativa contribución a nuestra comprensión de la formación de planetas y la habitabilidad de los exoplanetas a través de su imagen seminal de los discos de escombros alrededor de estrellas similares al Sol y cuerpos del sistema solar utilizando telescopios de infrarrojo lejano».[3]​
En 2018, anunció los resultados preliminares de los estudios sobre la presencia de fósforo en los restos de supernovas, que indican que el nivel de fósforo en la Nebulosa del Cangrejo es muy inferior al de Casiopea A, lo que hace especular que una escasez de fósforo podría limitar la formación de vida extraterrestre.[4]​[5]​
El 14 de septiembre de 2020, su equipo anunció el descubrimiento de la fosfina en la atmósfera de Venus.[6]​[7]​",¿Qué hizo en 2018?,"El 14 de septiembre de 2020, su equipo anunció el descubrimiento de la fosfina en la atmósfera de Venus.",
Jane Greaves,"Jane Greaves es una física británica, profesora de astronomía en la Universidad de Cardiff. Mientras estaba en la Universidad de St. Andrews dirigió el equipo que descubrió un protoplaneta dentro del disco protoplanetario alrededor de la joven estrella HL Tauri.[1]​[2]​
En 2017, fue galardonada con la Medalla y Premio Fred Hoyle del Institute of Physics por «su significativa contribución a nuestra comprensión de la formación de planetas y la habitabilidad de los exoplanetas a través de su imagen seminal de los discos de escombros alrededor de estrellas similares al Sol y cuerpos del sistema solar utilizando telescopios de infrarrojo lejano».[3]​
En 2018, anunció los resultados preliminares de los estudios sobre la presencia de fósforo en los restos de supernovas, que indican que el nivel de fósforo en la Nebulosa del Cangrejo es muy inferior al de Casiopea A, lo que hace especular que una escasez de fósforo podría limitar la formación de vida extraterrestre.[4]​[5]​
El 14 de septiembre de 2020, su equipo anunció el descubrimiento de la fosfina en la atmósfera de Venus.[6]​[7]​",¿Qué hizo el 2020?,su equipo anunció el descubrimiento de la fosfina en la atmósfera de Venus.,
Jane Greaves,"Jane Greaves es una física británica, profesora de astronomía en la Universidad de Cardiff. Mientras estaba en la Universidad de St. Andrews dirigió el equipo que descubrió un protoplaneta dentro del disco protoplanetario alrededor de la joven estrella HL Tauri.[1]​[2]​
En 2017, fue galardonada con la Medalla y Premio Fred Hoyle del Institute of Physics por «su significativa contribución a nuestra comprensión de la formación de planetas y la habitabilidad de los exoplanetas a través de su imagen seminal de los discos de escombros alrededor de estrellas similares al Sol y cuerpos del sistema solar utilizando telescopios de infrarrojo lejano».[3]​
En 2018, anunció los resultados preliminares de los estudios sobre la presencia de fósforo en los restos de supernovas, que indican que el nivel de fósforo en la Nebulosa del Cangrejo es muy inferior al de Casiopea A, lo que hace especular que una escasez de fósforo podría limitar la formación de vida extraterrestre.[4]​[5]​
El 14 de septiembre de 2020, su equipo anunció el descubrimiento de la fosfina en la atmósfera de Venus.[6]​[7]​",¿Cuándo su equipo anunció el descubrimiento de la fosfina en la atmósfera de Venus?,,El 14 de septiembre de 2020
Ana Fernandez-Sesma,"Ana Fernández-Sesma Cordón (Cáceres, 1965) es una investigadora y viróloga española, profesora de la Escuela Icahn de Medicina en Monte Sinaí en Nueva York (Estados Unidos).",¿Cuándo nació?,1965,
Ana Fernandez-Sesma,"Ana Fernández-Sesma Cordón (Cáceres, 1965) es una investigadora y viróloga española, profesora de la Escuela Icahn de Medicina en Monte Sinaí en Nueva York (Estados Unidos).",¿Cuándo cumple años?,1965,
Ana Fernandez-Sesma,"Ana Fernández-Sesma Cordón (Cáceres, 1965) es una investigadora y viróloga española, profesora de la Escuela Icahn de Medicina en Monte Sinaí en Nueva York (Estados Unidos).",¿Cuál es su fecha de nacimiento?,1965,
Ana Fernandez-Sesma,"Ana Fernández-Sesma Cordón (Cáceres, 1965) es una investigadora y viróloga española, profesora de la Escuela Icahn de Medicina en Monte Sinaí en Nueva York (Estados Unidos).",¿Dónde nació?,Cáceres,
Ana Fernandez-Sesma,"Ana Fernández-Sesma Cordón (Cáceres, 1965) es una investigadora y viróloga española, profesora de la Escuela Icahn de Medicina en Monte Sinaí en Nueva York (Estados Unidos).",¿De dónde es?,Cáceres,
Ana Fernandez-Sesma,"Ana Fernández-Sesma Cordón (Cáceres, 1965) es una investigadora y viróloga española, profesora de la Escuela Icahn de Medicina en Monte Sinaí en Nueva York (Estados Unidos).",¿En qué lugar nació?,Cáceres,
Ana Fernandez-Sesma,"Ana Fernández-Sesma Cordón (Cáceres, 1965) es una investigadora y viróloga española, profesora de la Escuela Icahn de Medicina en Monte Sinaí en Nueva York (Estados Unidos).",¿Quién es?,"es una investigadora y viróloga española, profesora de la Escuela Icahn de Medicina en Monte Sinaí en Nueva York (Estados Unidos).",
Ana Fernandez-Sesma,"Ana Fernández-Sesma Cordón (Cáceres, 1965) es una investigadora y viróloga española, profesora de la Escuela Icahn de Medicina en Monte Sinaí en Nueva York (Estados Unidos).",¿De dónde es profesora?,de la Escuela Icahn de Medicina en Monte Sinaí en Nueva York (Estados Unidos).,
Marie-Lise Chanin,"Marie-Lise Paule Andrée Lory conocida como Marie-Lise Chanin (Angers, 26 de septiembre de 1934) es una científica francesa, geofísica y aerónoma,[1]​ directora emérita de investigación en el CNRS, autora de trabajos sobre la física de la alta y mediana atmósfera.",¿Cuándo nació?,26 de septiembre de 1934,
Marie-Lise Chanin,"Marie-Lise Paule Andrée Lory conocida como Marie-Lise Chanin (Angers, 26 de septiembre de 1934) es una científica francesa, geofísica y aerónoma,[1]​ directora emérita de investigación en el CNRS, autora de trabajos sobre la física de la alta y mediana atmósfera.",¿Cuándo cumple años?,27 de septiembre de 1934,
Marie-Lise Chanin,"Marie-Lise Paule Andrée Lory conocida como Marie-Lise Chanin (Angers, 26 de septiembre de 1934) es una científica francesa, geofísica y aerónoma,[1]​ directora emérita de investigación en el CNRS, autora de trabajos sobre la física de la alta y mediana atmósfera.",¿Cuál es su fecha de nacimiento?,28 de septiembre de 1934,
Marie-Lise Chanin,"Marie-Lise Paule Andrée Lory conocida como Marie-Lise Chanin (Angers, 26 de septiembre de 1934) es una científica francesa, geofísica y aerónoma,[1]​ directora emérita de investigación en el CNRS, autora de trabajos sobre la física de la alta y mediana atmósfera.",¿Dónde nació?,Angers,
Marie-Lise Chanin,"Marie-Lise Paule Andrée Lory conocida como Marie-Lise Chanin (Angers, 26 de septiembre de 1934) es una científica francesa, geofísica y aerónoma,[1]​ directora emérita de investigación en el CNRS, autora de trabajos sobre la física de la alta y mediana atmósfera.",¿De dónde es?,Angers,
Marie-Lise Chanin,"Marie-Lise Paule Andrée Lory conocida como Marie-Lise Chanin (Angers, 26 de septiembre de 1934) es una científica francesa, geofísica y aerónoma,[1]​ directora emérita de investigación en el CNRS, autora de trabajos sobre la física de la alta y mediana atmósfera.",¿Quién es?,"es una científica francesa, geofísica y aerónoma,[1]​ directora emérita de investigación en el CNRS, autora de trabajos sobre la física de la alta y mediana atmósfera.",
Marie-Lise Chanin,"Marie-Lise Paule Andrée Lory conocida como Marie-Lise Chanin (Angers, 26 de septiembre de 1934) es una científica francesa, geofísica y aerónoma,[1]​ directora emérita de investigación en el CNRS, autora de trabajos sobre la física de la alta y mediana atmósfera.",¿De dónde es directora emérita?,directora emérita de investigación en el CNRS,
Marie-Lise Chanin,"Marie-Lise Paule Andrée Lory conocida como Marie-Lise Chanin (Angers, 26 de septiembre de 1934) es una científica francesa, geofísica y aerónoma,[1]​ directora emérita de investigación en el CNRS, autora de trabajos sobre la física de la alta y mediana atmósfera.",¿De qué autora?,autora de trabajos sobre la física de la alta y mediana atmósfera.,
Presentación López Piñero,"Presentación López Piñero (Ceutí, 28 de septiembre de 1983) es una política murciana, diputada en la Asamblea Regional de Murcia.",¿Cuándo nació?,28 de septiembre de 1983,
Presentación López Piñero,"Presentación López Piñero (Ceutí, 28 de septiembre de 1983) es una política murciana, diputada en la Asamblea Regional de Murcia.",¿Cuándo cumple años?,29 de septiembre de 1983,
Presentación López Piñero,"Presentación López Piñero (Ceutí, 28 de septiembre de 1983) es una política murciana, diputada en la Asamblea Regional de Murcia.",¿Cuál es su fecha de nacimiento?,30 de septiembre de 1983,
Presentación López Piñero,"Presentación López Piñero (Ceutí, 28 de septiembre de 1983) es una política murciana, diputada en la Asamblea Regional de Murcia.",¿Dónde nació?,Ceutí,
Presentación López Piñero,"Presentación López Piñero (Ceutí, 28 de septiembre de 1983) es una política murciana, diputada en la Asamblea Regional de Murcia.",¿De dónde es?,Ceutí,
Presentación López Piñero,"Presentación López Piñero (Ceutí, 28 de septiembre de 1983) es una política murciana, diputada en la Asamblea Regional de Murcia.",¿Quién es?,"es una política murciana, diputada en la Asamblea Regional de Murcia",
Presentación López Piñero,"Presentación López Piñero (Ceutí, 28 de septiembre de 1983) es una política murciana, diputada en la Asamblea Regional de Murcia.",¿De dónde es diputada?,diputada en la Asamblea Regional de Murcia,
María José Figueras Salvat,"María José Figueras Salvat (Tarragona, 1956) es una bióloga española, catedrática de microbiología e investigadora especializada en microbiología ambiental. Desde mayo de 2018 es rectora de la Universidad Rovira i Virgili convirtiéndose en la primera mujer rectora de esta universidad.",¿Cuándo nació?,1956,
María José Figueras Salvat,"María José Figueras Salvat (Tarragona, 1956) es una bióloga española, catedrática de microbiología e investigadora especializada en microbiología ambiental. Desde mayo de 2018 es rectora de la Universidad Rovira i Virgili convirtiéndose en la primera mujer rectora de esta universidad.",¿Cuándo cumple años?,1956,
María José Figueras Salvat,"María José Figueras Salvat (Tarragona, 1956) es una bióloga española, catedrática de microbiología e investigadora especializada en microbiología ambiental. Desde mayo de 2018 es rectora de la Universidad Rovira i Virgili convirtiéndose en la primera mujer rectora de esta universidad.",¿Cuál es su fecha de nacimiento?,1956,
María José Figueras Salvat,"María José Figueras Salvat (Tarragona, 1956) es una bióloga española, catedrática de microbiología e investigadora especializada en microbiología ambiental. Desde mayo de 2018 es rectora de la Universidad Rovira i Virgili convirtiéndose en la primera mujer rectora de esta universidad.",¿Dónde nació?,Tarragona,
María José Figueras Salvat,"María José Figueras Salvat (Tarragona, 1956) es una bióloga española, catedrática de microbiología e investigadora especializada en microbiología ambiental. Desde mayo de 2018 es rectora de la Universidad Rovira i Virgili convirtiéndose en la primera mujer rectora de esta universidad.",¿De dónde es?,Tarragona,
María José Figueras Salvat,"María José Figueras Salvat (Tarragona, 1956) es una bióloga española, catedrática de microbiología e investigadora especializada en microbiología ambiental. Desde mayo de 2018 es rectora de la Universidad Rovira i Virgili convirtiéndose en la primera mujer rectora de esta universidad.",¿Quién es?,"es una bióloga española, catedrática de microbiología e investigadora especializada en microbiología ambiental. Desde mayo de 2018 es rectora de la Universidad Rovira i Virgili convirtiéndose en la primera mujer rectora de esta universidad.",
María José Figueras Salvat,"María José Figueras Salvat (Tarragona, 1956) es una bióloga española, catedrática de microbiología e investigadora especializada en microbiología ambiental. Desde mayo de 2018 es rectora de la Universidad Rovira i Virgili convirtiéndose en la primera mujer rectora de esta universidad.",¿De qué es catedrática?,catedrática de microbiología e investigadora especializada en microbiología ambiental,
María José Figueras Salvat,"María José Figueras Salvat (Tarragona, 1956) es una bióloga española, catedrática de microbiología e investigadora especializada en microbiología ambiental. Desde mayo de 2018 es rectora de la Universidad Rovira i Virgili convirtiéndose en la primera mujer rectora de esta universidad.",¿Desde cuándo es rectora de la Universidad Rovira i Virgili?,Desde mayo de 2018,
María José Figueras Salvat,"María José Figueras Salvat (Tarragona, 1956) es una bióloga española, catedrática de microbiología e investigadora especializada en microbiología ambiental. Desde mayo de 2018 es rectora de la Universidad Rovira i Virgili convirtiéndose en la primera mujer rectora de esta universidad.",¿De dónde es rectora?,de la Universidad Rovira i Virgili,
María José Figueras Salvat,"María José Figueras Salvat (Tarragona, 1956) es una bióloga española, catedrática de microbiología e investigadora especializada en microbiología ambiental. Desde mayo de 2018 es rectora de la Universidad Rovira i Virgili convirtiéndose en la primera mujer rectora de esta universidad.",¿De dónde es la primera rectora?,de la Universidad Rovira i Virgili,
Nancy Allbritton,Nancy Allbritton es una profesora y presidenta Kenan en el Departamento de Ingeniería Biomédica de la Universidad de Carolina del Norte en Chapel Hill y en la Universidad Estatal de Carolina del Norte.[1]​,¿Quién es?,es una profesora y presidenta Kenan en el Departamento de Ingeniería Biomédica de la Universidad de Carolina del Norte en Chapel Hill y en la Universidad Estatal de Carolina del Norte.,
